song_id,title,artist,,BPM,Energy,Danceability,loudness,valence,duration,acoustic,popularity,,language
9,Dynamite,BTS,,114,77,75,-4,74,199,1,85,,English
10,My Universe,Coldplay,,105,70,59,-6,44,228,1,85,,English
12,Perfect,Ed Sheeran,,95,45,60,-6,17,263,16,84,,English
14,Shape of You,Ed Sheeran,,96,65,83,-3,93,234,58,84,,English
7,Closer,The Chainsmokers,,95,52,75,-6,66,245,41,83,,English
13,Photograph,Ed Sheeran,,108,38,61,-10,20,259,61,83,,English
1,death bed,Powfu,,144,43,73,-9,35,173,73,81,,English
2,Bad Liar,Imagine Dragons,,178,64,38,-7,8,261,7,78,,English
8,Don't Start Now,Dua Lipa,,124,79,79,-5,68,183,1,78,,English
11,New Rules,Dua Lipa,,116,70,76,-6,61,209,0,78,,English
3,Faded,Alan Walker,,180,63,47,-5,16,212,3,77,,English
6,Without Me,Halsey,,136,49,75,-7,53,202,30,76,,English
5,Solo ,Clean Bandit,,105,64,74,-5,56,223,4,70,,English
22,"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi,,101,91,74,-3,78,196,1,69,,Hindi
23,"Najaa (From ""Sooryavanshi"")",Tanishk Bagchi,,94,73,79,-5,70,191,8,69,,Hindi
4,Hate Me,Ellie Goulding,,75,79,64,-5,76,188,9,67,,English
25,Subhanallah,Pritam,,89,49,30,-5,46,250,46,67,,Hindi
26,Sun Saathiya,Priya Saraiya,,144,67,46,-8,26,219,60,63,,Hindi
24,Paniyon Sa,Rochak Kohli,,75,77,52,-5,67,236,45,62,,Hindi
18,Humsafar,Akhil Sachdeva,,94,55,32,-6,22,268,72,61,,Hindi
16,Desi Girl,Vishal-Shekhar,,136,92,75,-6,81,307,2,59,,Hindi
20,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,,129,90,83,-5,53,231,26,57,,Hindi
17,Gerua,Pritam,,87,67,37,-7,40,346,64,56,,Hindi
27,The Disco Song,Vishal-Shekhar,,125,94,69,-6,62,342,1,56,,Hindi
15,Badri Ki Dulhania (Title Track),Dev Negi,,128,95,76,-3,81,207,11,54,,Hindi
21,Kamli,Pritam,,175,93,62,-6,74,245,16,53,,Hindi
19,India Waale,Neeti Mohan,,128,75,72,-5,62,238,4,45,,Hindi
